mz,composition
3019.9336,Gc_37+S+Na
3099.8904,Gc_37+Sx2+Na
3086.0347,Gc_38+Na
3232.0926,Gc_38+Fuc+Na
3378.1505,Gc_38+Fucx2+Na
3524.2084,Gc_38+Fucx3+Na
3165.9915,Gc_38+S+Na
3245.9483,Gc_38+Sx2+Na
3305.1089,Gc_39+Na
3451.1668,Gc_39+Fuc+Na
3597.2247,Gc_39+Fucx2+Na
3743.2826,Gc_39+Fucx3+Na
3889.3405,Gc_39+Fucx4+Na
3385.0657,Gc_39+S+Na
3465.0225,Gc_39+Sx2+Na
2138.7116,Gc_4+Na
2284.7695,Gc_4+Fuc+Na
2430.8274,Gc_4+Fucx2+Na
2218.6684,Gc_4+S+Na
2298.6252,Gc_4+Sx2+Na
3451.1669,Gc_40+Na
3597.2248,Gc_40+Fuc+Na
3743.2827,Gc_40+Fucx2+Na
3889.3406,Gc_40+Fucx3+Na
4035.3985,Gc_40+Fucx4+Na
3531.1237,Gc_40+S+Na
3611.0805,Gc_40+Sx2+Na
2867.9556,Gc_41+Na
2947.9124,Gc_41+S+Na
3027.8692,Gc_41+Sx2+Na
3014.0135,Gc_42+Na
3160.0714,Gc_42+Fuc+Na
3306.1293,Gc_42+Fucx2+Na
3452.1872,Gc_42+Fucx3+Na
3598.2451,Gc_42+Fucx4+Na
3093.9703,Gc_42+S+Na
3173.9271,Gc_42+Sx2+Na
2971.9666,Gc_43+Na
3051.9234,Gc_43+S+Na
3131.8802,Gc_43+Sx2+Na
3118.0245,Gc_44+Na
3264.0824,Gc_44+Fuc+Na
3410.1403,Gc_44+Fucx2+Na
3556.1982,Gc_44+Fucx3+Na
3197.9813,Gc_44+S+Na
3277.9381,Gc_44+Sx2+Na
2955.9717,Gc_45+Na
3035.9285,Gc_45+S+Na
3115.8853,Gc_45+Sx2+Na
3102.0296,Gc_46+Na
3248.0875,Gc_46+Fuc+Na
3394.1454,Gc_46+Fucx2+Na
3540.2033,Gc_46+Fucx3+Na
3181.9864,Gc_46+S+Na
3261.9432,Gc_46+Sx2+Na
3160.0714,Gc_47+Na
3306.1293,Gc_47+Fuc+Na
3452.1872,Gc_47+Fucx2+Na
3598.2451,Gc_47+Fucx3+Na
3744.303,Gc_47+Fucx4+Na
3240.0282,Gc_47+S+Na
3319.985,Gc_47+Sx2+Na
3030.0084,Gc_48+Na
3109.9652,Gc_48+S+Na
3189.922,Gc_48+Sx2+Na
3176.0664,Gc_49+Na
3322.1243,Gc_49+Fuc+Na
3468.1822,Gc_49+Fucx2+Na
3614.2401,Gc_49+Fucx3+Na
3760.298,Gc_49+Fucx4+Na
3256.0232,Gc_49+S+Na
3335.98,Gc_49+Sx2+Na
1951.6272,Gc_5+Na
2031.584,Gc_5+S+Na
2111.5408,Gc_5+Sx2+Na
3143.0561,Gc_50+Na
3223.0129,Gc_50+S+Na
3302.9697,Gc_50+Sx2+Na
3289.114,Gc_51+Na
3435.1719,Gc_51+Fuc+Na
3581.2298,Gc_51+Fucx2+Na
3727.2877,Gc_51+Fucx3+Na
3873.3456,Gc_51+Fucx4+Na
3369.0708,Gc_51+S+Na
3449.0276,Gc_51+Sx2+Na
3159.051,Gc_52+Na
3239.0078,Gc_52+S+Na
3318.9646,Gc_52+Sx2+Na
3175.046,Gc_53+Na
3255.0028,Gc_53+S+Na
3334.9596,Gc_53+Sx2+Na
3321.1039,Gc_54+Na
3467.1618,Gc_54+Fuc+Na
3613.2197,Gc_54+Fucx2+Na
3759.2776,Gc_54+Fucx3+Na
3905.3355,Gc_54+Fucx4+Na
3401.0607,Gc_54+S+Na
3481.0175,Gc_54+Sx2+Na
3467.1618,Gc_55+Na
3613.2197,Gc_55+Fuc+Na
3759.2776,Gc_55+Fucx2+Na
3905.3355,Gc_55+Fucx3+Na
4051.3934,Gc_55+Fucx4+Na
3547.1186,Gc_55+S+Na
3627.0754,Gc_55+Sx2+Na
3337.0988,Gc_56+Na
3417.0556,Gc_56+S+Na
3497.0124,Gc_56+Sx2+Na
3483.1567,Gc_57+Na
3629.2146,Gc_57+Fuc+Na
3775.2725,Gc_57+Fucx2+Na
3921.3304,Gc_57+Fucx3+Na
4067.3883,Gc_57+Fucx4+Na
3563.1135,Gc_57+S+Na
3643.0703,Gc_57+Sx2+Na
3612.1993,Gc_58+Na
3692.1561,Gc_58+S+Na
3772.1129,Gc_58+Sx2+Na
3904.3151,Gc_59+Fuc+Na
4050.373,Gc_59+Fucx2+Na
4196.4309,Gc_59+Fucx3+Na
4342.4888,Gc_59+Fucx4+Na
3838.214,Gc_59+S+Na
3918.1708,Gc_59+Sx2+Na
2097.6851,Gc_6+Na
2243.743,Gc_6+Fuc+Na
2177.6419,Gc_6+S+Na
2257.5987,Gc_6+Sx2+Na
3596.2044,Gc_60+Na
3742.2623,Gc_60+Fuc+Na
3888.3202,Gc_60+Fucx2+Na
3676.1612,Gc_60+S+Na
3756.118,Gc_60+Sx2+Na
3742.2623,Gc_61+Na
3888.3202,Gc_61+Fuc+Na
4034.3781,Gc_61+Fucx2+Na
4180.436,Gc_61+Fucx3+Na
4326.4939,Gc_61+Fucx4+Na
3822.2191,Gc_61+S+Na
3902.1759,Gc_61+Sx2+Na
3628.1942,Gc_62+Na
3774.2521,Gc_62+Fuc+Na
3920.31,Gc_62+Fucx2+Na
3708.151,Gc_62+S+Na
3788.1078,Gc_62+Sx2+Na
1627.5215,Gc_66+Na
1707.4783,Gc_66+S+Na
1787.4351,Gc_66+Sx2+Na
1773.5794,Gc_67+Na
1919.6373,Gc_67+Fuc+Na
2065.6952,Gc_67+Fucx2+Na
1853.5362,Gc_67+S+Na
1933.493,Gc_67+Sx2+Na
2033.6803,Gc_7+Na
2113.6371,Gc_7+S+Na
2193.5939,Gc_7+Sx2+Na
2179.7382,Gc_8+Na
